Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Asking For A Friend","Foo Fighters","Asking For A Friend","BW26","Playlist","USRC12502235","6H8kmcBIUymcI1byu6QCRp"
"Your Favorite Toy","Foo Fighters","Your Favorite Toy","BW26","Playlist","USRW32600004","0L9RHQ6I91En6Ic1ILQAEF"
"Everythings Gone Green","New Order","Substance","BW26","Playlist","GBCRL0800456","1VZFmtsZuuqm0EV6KQihE8"
"As Alive As You Need Me To Be","Nine Inch Nails","As Alive As You Need Me To Be","BW26","Playlist","USUG12505531","1xsEHo7mtGZLEG94vFX11z"
"Turn It on Again","Genesis","Duke","BW26","Playlist","GBAAA9400440","5KXTDunEgNVBnuSBDzsm6x"
"Denial - 2015 Remaster","New Order","Movement","BW26","Playlist","GBAAP1500378","3rY5wJIHBqTuoOaXGOxA7N"
"Long Train Runnin'","The Doobie Brothers","The Captain and Me","BW26","Playlist","USWB19900751","4nXkbcTj3nyww1cHkw5RAP"
"Good Girls Don't","The Knack","Get The Knack","BW26","Playlist","USCA28900315","426i8hiYTwwlImNaluBb9C"
"Castles Made of Sand","Jimi Hendrix","Axis: Bold As Love","BW26","Playlist","USQX90900760","3qebSLgUwaEqbwCM5sj5Kh"
"Scare Easy","Mudcrutch","Mudcrutch","BW26","Playlist","USRE10800315","7eq6lgiPU8Rx1c1OmuoB7N"
"Pour Some Sugar On Me","Def Leppard","Hysteria","BW26","Playlist","GBF088790147","1aZLIbKEdsyqxyD6iNcrbA"
"Kick Out the Jams","MC5","Kick Out The Jams (Live)","BW26","Playlist","USEE10000532","1cLfXnBwTFuRngRZfQeLof"
"Black Shoe","The Moondoggies","Don't Be a Stranger","BW26","Playlist","USHF30800402","1wDeS9h6SPylMiuS0NEQRT"
"Lessons In Love","Level 42","Running In The Family","BW26","Playlist","GBAKW8601003","3EGI5qmVmGlfgy9BmNb1R8"
"Love You Madly","CAKE","Comfort Eagle","BW26","Playlist","USSM10104616","5jhfa76FhqtD3Boij6MAKS"
"My Ever Changing Moods - Long Version","The Style Council","Café Bleu (Special Edition)","BW26","Playlist","GBAKW8401042","60podJZH1yhpuaTN00So3L"
"Pushing the Extreme","Wipers","Youth of America","BW26","Playlist","USA2P1502910","1tXWhp84NvHXL1fa0OeBB7"
"Them Kids","Sam Roberts Band","Love at the End of the World","BW26","Playlist","CAUM70800055","4xYfSXfTJNmOo4D0CHsiI7"
"Switch Up","Mike D","Switch Up","BW26","Playlist","USUG12603817","1FHSvpvNWmJcpDcmsxrtbH"
"Thorns and All","Silversun Pickups","Tenterhooks","BW26","Playlist","QM3UF2500006","0S4Zp4FADBlaPBBZPC95iw"
"The Hurting","Tears For Fears","The Hurting","BW26","Playlist","GBF088300039","0CpBiDWgrVau4bGJbkQ73R"
"I Travel - Remastered 2002","Simple Minds","Empires And Dance","BW26","Playlist","GBAAA0200582","1PekyTIRFked9Lah17jQF6"
"I'm Free","The Who","Tommy","BW26","Playlist","GBAKW6900103","7tbp39GZvDA0cItgHynVnG"
"Good Thing","Fine Young Cannibals","The Raw & The Cooked","BW26","Playlist","USRH10901908","6lRkdG1HurVS72F9GoBeWJ"
"Bat Out of Hell","Meat Loaf","Bat Out Of Hell","BW26","Playlist","USSM11206824","3mCeeoBvTTpg8Xy2Wuvirw"
"Der Kommissar","After The Fire","Club Epic - A Collection Of Classic Dance Mixes - Volume 5","BW26","Playlist","GBBBN8200035","0OCoPwxoxtmhwTzUCpilQc"
"Rebellion (Lies)","Arcade Fire","Funeral","BW26","Playlist","USMRG0467010","0xOeB16JDbBJBJKSdHbElT"
"Badge","Cream","Goodbye","BW26","Playlist","GBA076900010","08xsXR637CEqbxJmpFcuSA"
"Everywhere I Go - Remastered","The Call","Reconciled & Into The Woods (Deluxe Double Album) [Remastered]","BW26","Playlist","QMFME2363052","04U9cZB4ISjuHir0uuTCgp"
"Elegantly Wasted","INXS","Elegantly Wasted (Remastered)","BW26","Playlist","GBAMX9700002","1RHMpZW3K13jPLk5gKPBa9"
"10:15 Saturday Night - 2005 Remaster","The Cure","Three Imaginary Boys (Deluxe Edition)","BW26","Playlist","USEE10500800","0l7djXY6dukQGO9qzWadiz"
"Who Are You","The Who","Who Are You (Super Deluxe Edition)","BW26","Playlist","GBAKW7801011","4XTjaXaGmPh8ys1BzFdjdL"
"Rise","The Cult","Beyond Good and Evil","BW26","Playlist","USAT20100809","1TbihmZ2BtE4JP6C85I0zZ"
"Silverfuck - 2011 Remaster","The Smashing Pumpkins","Siamese Dream (Deluxe Edition)","BW26","Playlist","USVI21100156","6qzPIHZ3iujtOYjNkA5CL3"
"Personal Jesus","Depeche Mode","Violator (Deluxe)","BW26","Playlist","GBAJH0600289","2wUlYDGGXlSvm2NkGj0Qio"
"This Time","INXS","Listen Like Thieves","BW26","Playlist","USAT28600023","4EsEfzagJPOdu15YRmptIi"
"Sirius","The Alan Parsons Project","Eye In The Sky","BW26","Playlist","USAR19700018","0hSs4vOZo1OkRiAOoLafrT"
"Just","Radiohead","The Bends","BW26","Playlist","GBAYE9400060","1dyTcli07c77mtQK3ahUZR"
